country;RAW_OBS_VALUE;ATTR_ENDPOINT
Afghanistan;5.0;nan
Albania;5.0;nan
Algeria;5.0;nan
Andorra;5.0;nan
Angola;5.0;nan
Antigua and Barbuda;5.0;nan
Argentina;5.0;nan
Armenia;5.0;nan
Australia;5.0;nan
Austria;5.0;nan
Azerbaijan;5.0;nan
Bahamas;5.0;nan
Bahrain;1.0;nan
Bangladesh;5.0;nan
Barbados;5.0;nan
Belarus;5.0;nan
Belgium;3.0;nan
Belize;5.0;nan
Benin;5.0;nan
Bhutan;5.0;nan
Bolivia;5.0;nan
Bosnia-Herzogovina;3.0;nan
Botswana;5.0;nan
Brazil;5.0;nan
Brunei;1.0;nan
Bulgaria;5.0;nan
Burkina Faso;5.0;nan
Burundi;5.0;nan
Cambodia;5.0;nan
Cameroon;5.0;nan
Canada;5.0;nan
Cape Verde;1.0;nan
Central African Republic;5.0;nan
Chad;5.0;nan
Chile;5.0;nan
China;5.0;nan
Colombia;5.0;nan
Comoros;5.0;nan
Congo, Democratic Republic of the;5.0;nan
Congo, Republic of the Congo;5.0;nan
Costa Rica;5.0;nan
Cote d'Ivoire;5.0;nan
Croatia;3.0;nan
Cuba;5.0;nan
Cyprus;5.0;nan
Czech Republic;5.0;nan
Denmark;3.0;nan
Djibouti;1.0;nan
Dominica;5.0;nan
Dominican Republic;5.0;nan
Ecuador;5.0;nan
Egypt;5.0;nan
El Salvador;5.0;nan
Equatorial Guinea;5.0;nan
Eritrea;1.0;nan
Estonia;5.0;nan
Eswatini;5.0;nan
Ethiopia;1.0;nan
Fiji;5.0;nan
Finland;3.0;nan
France;5.0;nan
Gabon;5.0;nan
Gambia, the;5.0;nan
Georgia;5.0;nan
Germany;3.0;nan
Ghana;5.0;nan
Greece;3.0;nan
Grenada;5.0;nan
Guatemala;5.0;nan
Guinea;1.0;nan
Guinea-Bissau;5.0;nan
Guyana;5.0;nan
Haiti;5.0;nan
Honduras;5.0;nan
Hungary;5.0;nan
Iceland;3.0;nan
India;5.0;nan
Indonesia;5.0;nan
Iran, Islamic Republic of;5.0;nan
Iraq;5.0;nan
Ireland;5.0;nan
Israel;5.0;nan
Italy;3.0;nan
Jamaica;5.0;nan
Japan;5.0;nan
Jordan;5.0;nan
Kazakhstan;5.0;nan
Kenya;5.0;nan
Kiribati;1.0;nan
Korea, Republic of;5.0;nan
Kuwait;5.0;nan
Kyrgyzstan;5.0;nan
Laos;5.0;nan
Latvia;5.0;nan
Lebanon;5.0;nan
Lesotho;5.0;nan
Liberia;5.0;nan
Libyan Arab Jamahiriya;5.0;nan
Lithuania;5.0;nan
Luxembourg;5.0;nan
Madagascar;5.0;nan
Malawi;5.0;nan
Malaysia;1.0;nan
Maldives;1.0;nan
Mali;5.0;nan
Malta;5.0;nan
Marshall Islands;5.0;nan
Mauritania;5.0;nan
Mauritius;5.0;nan
Mexico;5.0;nan
Moldova, Republic of;5.0;nan
Monaco;5.0;nan
Mongolia;5.0;nan
Montenegro;5.0;nan
Morocco;5.0;nan
Mozambique;5.0;nan
Myanmar;5.0;nan
Namibia;1.0;nan
Nauru;1.0;nan
Nepal;5.0;nan
Netherlands, the;5.0;nan
New Zealand;5.0;nan
Nicaragua;5.0;nan
Niger;5.0;nan
Nigeria;5.0;nan
North Macedonia;1.0;nan
Norway;3.0;nan
Oman;5.0;nan
Pakistan;5.0;nan
Palau;5.0;nan
Panama;5.0;nan
Papua New Guinea;5.0;nan
Paraguay;5.0;nan
Peru;5.0;nan
Philippines, the;5.0;nan
Poland;5.0;nan
Portugal;5.0;nan
Qatar;1.0;nan
Romania;5.0;nan
Russian Federation;5.0;nan
Rwanda;5.0;nan
Samoa;5.0;nan
San Marino;5.0;nan
Sao Tome / Principe;5.0;nan
Saudi Arabia;1.0;nan
Senegal;5.0;nan
Serbia;5.0;nan
Seychelles;5.0;nan
Sierra Leone;5.0;nan
Singapore;1.0;nan
Slovakia;5.0;nan
Slovenia;5.0;nan
Solomon Islands;5.0;nan
Somalia;1.0;nan
South Africa;5.0;nan
Spain;5.0;nan
Sri Lanka;5.0;nan
St. Kitts and Nevis;5.0;nan
St. Lucia;5.0;nan
St. Vincent / Grenadines;5.0;nan
Sudan, the;5.0;nan
Suriname;1.0;nan
Sweden;3.0;nan
Switzerland;3.0;nan
Syria;5.0;nan
Tajikistan;5.0;nan
Tanzania, United Republic of;5.0;nan
Thailand;5.0;nan
Timor-Leste;1.0;nan
Togo;5.0;nan
Tonga;1.0;nan
Trinidad and Tobago;5.0;nan
Tunisia;5.0;nan
Turkey;5.0;nan
Turkmenistan;5.0;nan
Tuvalu;5.0;nan
Uganda;5.0;nan
Ukraine;5.0;nan
United Arab Emirates;1.0;nan
United Kingdom;5.0;nan
United States of America;5.0;nan
Uruguay;5.0;nan
Uzbekistan;5.0;nan
Vanuatu;5.0;nan
Venezuela;5.0;nan
Vietnam;5.0;nan
Yemen;1.0;nan
Zambia;5.0;nan
Zimbabwe;5.0;nan
